branch,implementor,task,status,missing_requirements
fan-dev,fan,coupon-manager,implementing,coupon-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; preprocess/main.py must exist
fan-dev,fan,discount-calculator,implementing,discount-calculator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
fan-dev,fan,loyalty-program,implementing,loyalty-program.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; preprocess/main.py must exist
fan-dev,fan,price-tracker,implementing,price-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; preprocess/main.py must exist
fan-dev,fan,product-comparator,implementing,product-comparator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; docs/agent_system_prompt.md must contain no Chinese; preprocess/main.py must exist
fan-dev,fan,review-aggregator,implementing,review-aggregator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
fan-dev,fan,shopping-cart,implementing,shopping-cart.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; preprocess/main.py must exist
fan-dev,fan,wishlist-manager,implementing,wishlist-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
gyy,gyy,blog-engine,implementing,blog-engine.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
gyy,gyy,cms-builder,implementing,cms-builder.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
gyy,gyy,comment-moderator,implementing,comment-moderator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
gyy,gyy,content-scheduler,implementing,content-scheduler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
gyy,gyy,robots-handler,implementing,robots-handler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
gyy,gyy,seo-optimizer,implementing,seo-optimizer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
gyy,gyy,sitemap-generator,implementing,sitemap-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
gyy,gyy,social-publisher,implementing,social-publisher.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
gyy,gyy,tag-manager,implementing,tag-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,audio-converter,implementing,audio-converter.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,media-organizer,implementing,media-organizer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,photo-editor,implementing,photo-editor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,streaming-service,implementing,streaming-service.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
haoze,haoze,subtitle-generator,implementing,subtitle-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,thumbnail-creator,implementing,thumbnail-creator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
haoze,haoze,video-trimmer,implementing,video-trimmer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
jl_dev,jl,canvas-grade-automation,implementing,canvas-grade-automation.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
jl_dev,jl,customer-feedback-processor,implementing,customer-feedback-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
jl_dev,jl,email-classification-system,implementing,email-classification-system.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
jl_dev,jl,inventory-management,implementing,inventory-management.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
jl_dev,jl,monthly-sales-analysis,implementing,monthly-sales-analysis.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
jl_dev,jl,pdf-report-generator,implementing,pdf-report-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
jl_dev,jl,weekly-expense-tracker,implementing,weekly-expense-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist; evaluation/main.py must exist
junteng_dev,junteng,booking-system,implementing,booking-system.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junteng_dev,junteng,calendar-sync,implementing,calendar-sync.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
junteng_dev,junteng,contact-manager,implementing,contact-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
junteng_dev,junteng,customer-portal,implementing,customer-portal.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
junteng_dev,junteng,help-desk,implementing,help-desk.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
junteng_dev,junteng,inventory-tracker,implementing,inventory-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junteng_dev,junteng,order-processor,implementing,order-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
junteng_dev,junteng,product-catalog,implementing,product-catalog.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
junteng_dev,junteng,reminder-service,implementing,reminder-service.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
junteng_dev,junteng,shipment-tracker,implementing,shipment-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
junxian_dev,junxian,barcode-scanner,implementing,barcode-scanner.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junxian_dev,junxian,currency-converter,implementing,currency-converter.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junxian_dev,junxian,location-tracker,implementing,location-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
junxian_dev,junxian,qr-generator,implementing,qr-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
junxian_dev,junxian,social-connector,implementing,social-connector.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junxian_dev,junxian,translation-api,implementing,translation-api.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
junxian_dev,junxian,url-shortener,implementing,url-shortener.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
junxian_dev,junxian,weather-service,implementing,weather-service.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lueyang-dev,lueyang,activity-logger,implementing,activity-logger.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
lueyang-dev,lueyang,client-portal,implementing,client-portal.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lueyang-dev,lueyang,contact-scorer,implementing,contact-scorer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lueyang-dev,lueyang,crm-system,implementing,crm-system.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lueyang-dev,lueyang,deal-manager,implementing,deal-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
lueyang-dev,lueyang,email-campaign,implementing,email-campaign.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
lueyang-dev,lueyang,follow-up-reminder,implementing,follow-up-reminder.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
lueyang-dev,lueyang,lead-tracker,implementing,lead-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lueyang-dev,lueyang,sales-pipeline,implementing,sales-pipeline.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
lueyang-dev,lueyang,territory-manager,implementing,territory-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
lv,lv,analytics-dashboard,implementing,analytics-dashboard.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
lv,lv,chat-bot,implementing,chat-bot.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
lv,lv,feedback-collector,implementing,feedback-collector.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
lv,lv,insights-engine,implementing,insights-engine.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
lv,lv,personalization-service,implementing,personalization-service.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
lv,lv,recommendation-engine,implementing,recommendation-engine.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
lv,lv,sentiment-analyzer,implementing,sentiment-analyzer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
lv,lv,survey-builder,implementing,survey-builder.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
lv,lv,voice-processor,implementing,voice-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
ruige,ruige,canvas-automation,implementing,canvas-automation.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
ruige,ruige,data-analytics,implementing,data-analytics.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
